"year","nestID","tagged","tagID","BS"
"2019",2408,"no",0,1
"2019",2417,"no",0,0
"2019",2418,"no",0,1
"2019",2419,"no",0,0
"2019",2421,"no",0,0
"2019",2422,"no",0,0
"2019",2423,"no",0,1
"2019",2424,"no",0,0
"2019",2446,"no",0,1
"2019",2447,"no",0,2
"2019",2448,"no",0,1
"2019",2450,"no",0,1
"2019",2453,"no",0,1
"2019",2454,"no",0,1
"2019",2456,"no",0,1
"2019",2457,"no",0,0
"2019",2458,"no",0,1
"2019",2461,"no",0,1
"2019",2464,"no",0,1
"2019",2465,"no",0,1
"2019",2468,"no",0,0
"2019",2469,"no",0,1
"2019",2470,"no",0,1
"2019",2471,"no",0,0
"2019",2472,"no",0,1
"2019",2475,"no",0,1
"2019",2479,"no",0,1
"2019",2480,"no",0,2
"2019",2484,"no",0,0
"2019",2505,"no",0,0
"2019",2506,"no",0,0
"2019",2507,"no",0,0
"2019",2509,"no",0,0
"2019",2510,"no",0,1
"2017",1806,"yes",6284,1
